"School year","Values","Sex","Age in 5 years group","Full-/Part-time","Schultyp (Ebene +1)","Number","Annotations"
"2018/19","Full-time equivalent","male","to 24 years","Full-time","Cumpulsory schools",168.99,
"2018/19","Full-time equivalent","male","to 24 years","Full-time","Academic secondary schools",5.00,
"2018/19","Full-time equivalent","male","to 24 years","Full-time","Other general schools (statues)",2.05,
"2018/19","Full-time equivalent","male","to 24 years","Full-time","Vocational schools for apprentices",0.92,
"2018/19","Full-time equivalent","male","to 24 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",8.80,
"2018/19","Full-time equivalent","male","to 24 years","Full-time","Other schools and colleges for Vocational Education (statutes)",0.20,
"2018/19","Full-time equivalent","male","to 24 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","to 24 years","Part-time","Cumpulsory schools",18.31,
"2018/19","Full-time equivalent","male","to 24 years","Part-time","Academic secondary schools",14.02,
"2018/19","Full-time equivalent","male","to 24 years","Part-time","Other general schools (statues)",1.05,
"2018/19","Full-time equivalent","male","to 24 years","Part-time","Vocational schools for apprentices",0.43,
"2018/19","Full-time equivalent","male","to 24 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",5.99,
"2018/19","Full-time equivalent","male","to 24 years","Part-time","Other schools and colleges for Vocational Education (statutes)",1.01,
"2018/19","Full-time equivalent","male","to 24 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","25 to 29 years","Full-time","Cumpulsory schools",1088.44,
"2018/19","Full-time equivalent","male","25 to 29 years","Full-time","Academic secondary schools",413.82,
"2018/19","Full-time equivalent","male","25 to 29 years","Full-time","Other general schools (statues)",19.86,
"2018/19","Full-time equivalent","male","25 to 29 years","Full-time","Vocational schools for apprentices",13.12,
"2018/19","Full-time equivalent","male","25 to 29 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",205.59,
"2018/19","Full-time equivalent","male","25 to 29 years","Full-time","Other schools and colleges for Vocational Education (statutes)",0.95,
"2018/19","Full-time equivalent","male","25 to 29 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","25 to 29 years","Part-time","Cumpulsory schools",90.44,
"2018/19","Full-time equivalent","male","25 to 29 years","Part-time","Academic secondary schools",147.29,
"2018/19","Full-time equivalent","male","25 to 29 years","Part-time","Other general schools (statues)",13.63,
"2018/19","Full-time equivalent","male","25 to 29 years","Part-time","Vocational schools for apprentices",2.78,
"2018/19","Full-time equivalent","male","25 to 29 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",71.34,
"2018/19","Full-time equivalent","male","25 to 29 years","Part-time","Other schools and colleges for Vocational Education (statutes)",1.97,
"2018/19","Full-time equivalent","male","25 to 29 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","30 to 34 years","Full-time","Cumpulsory schools",1119.29,
"2018/19","Full-time equivalent","male","30 to 34 years","Full-time","Academic secondary schools",736.01,
"2018/19","Full-time equivalent","male","30 to 34 years","Full-time","Other general schools (statues)",37.22,
"2018/19","Full-time equivalent","male","30 to 34 years","Full-time","Vocational schools for apprentices",100.11,
"2018/19","Full-time equivalent","male","30 to 34 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",411.45,
"2018/19","Full-time equivalent","male","30 to 34 years","Full-time","Other schools and colleges for Vocational Education (statutes)",6.36,
"2018/19","Full-time equivalent","male","30 to 34 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","30 to 34 years","Part-time","Cumpulsory schools",95.22,
"2018/19","Full-time equivalent","male","30 to 34 years","Part-time","Academic secondary schools",155.92,
"2018/19","Full-time equivalent","male","30 to 34 years","Part-time","Other general schools (statues)",13.16,
"2018/19","Full-time equivalent","male","30 to 34 years","Part-time","Vocational schools for apprentices",8.45,
"2018/19","Full-time equivalent","male","30 to 34 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",102.67,
"2018/19","Full-time equivalent","male","30 to 34 years","Part-time","Other schools and colleges for Vocational Education (statutes)",1.98,
"2018/19","Full-time equivalent","male","30 to 34 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","35 to 39 years","Full-time","Cumpulsory schools",1092.67,
"2018/19","Full-time equivalent","male","35 to 39 years","Full-time","Academic secondary schools",726.80,
"2018/19","Full-time equivalent","male","35 to 39 years","Full-time","Other general schools (statues)",39.32,
"2018/19","Full-time equivalent","male","35 to 39 years","Full-time","Vocational schools for apprentices",217.82,
"2018/19","Full-time equivalent","male","35 to 39 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",702.93,
"2018/19","Full-time equivalent","male","35 to 39 years","Full-time","Other schools and colleges for Vocational Education (statutes)",7.13,
"2018/19","Full-time equivalent","male","35 to 39 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","35 to 39 years","Part-time","Cumpulsory schools",106.66,
"2018/19","Full-time equivalent","male","35 to 39 years","Part-time","Academic secondary schools",144.87,
"2018/19","Full-time equivalent","male","35 to 39 years","Part-time","Other general schools (statues)",12.05,
"2018/19","Full-time equivalent","male","35 to 39 years","Part-time","Vocational schools for apprentices",25.06,
"2018/19","Full-time equivalent","male","35 to 39 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",108.51,
"2018/19","Full-time equivalent","male","35 to 39 years","Part-time","Other schools and colleges for Vocational Education (statutes)",6.07,
"2018/19","Full-time equivalent","male","35 to 39 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","40 to 44 years","Full-time","Cumpulsory schools",1047.63,
"2018/19","Full-time equivalent","male","40 to 44 years","Full-time","Academic secondary schools",656.51,
"2018/19","Full-time equivalent","male","40 to 44 years","Full-time","Other general schools (statues)",50.66,
"2018/19","Full-time equivalent","male","40 to 44 years","Full-time","Vocational schools for apprentices",322.60,
"2018/19","Full-time equivalent","male","40 to 44 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",874.40,
"2018/19","Full-time equivalent","male","40 to 44 years","Full-time","Other schools and colleges for Vocational Education (statutes)",12.72,
"2018/19","Full-time equivalent","male","40 to 44 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","40 to 44 years","Part-time","Cumpulsory schools",100.97,
"2018/19","Full-time equivalent","male","40 to 44 years","Part-time","Academic secondary schools",103.45,
"2018/19","Full-time equivalent","male","40 to 44 years","Part-time","Other general schools (statues)",10.27,
"2018/19","Full-time equivalent","male","40 to 44 years","Part-time","Vocational schools for apprentices",28.40,
"2018/19","Full-time equivalent","male","40 to 44 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",119.02,
"2018/19","Full-time equivalent","male","40 to 44 years","Part-time","Other schools and colleges for Vocational Education (statutes)",7.92,
"2018/19","Full-time equivalent","male","40 to 44 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","45 to 49 years","Full-time","Cumpulsory schools",1203.72,
"2018/19","Full-time equivalent","male","45 to 49 years","Full-time","Academic secondary schools",697.57,
"2018/19","Full-time equivalent","male","45 to 49 years","Full-time","Other general schools (statues)",43.31,
"2018/19","Full-time equivalent","male","45 to 49 years","Full-time","Vocational schools for apprentices",516.11,
"2018/19","Full-time equivalent","male","45 to 49 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1275.12,
"2018/19","Full-time equivalent","male","45 to 49 years","Full-time","Other schools and colleges for Vocational Education (statutes)",16.71,
"2018/19","Full-time equivalent","male","45 to 49 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","45 to 49 years","Part-time","Cumpulsory schools",117.28,
"2018/19","Full-time equivalent","male","45 to 49 years","Part-time","Academic secondary schools",100.53,
"2018/19","Full-time equivalent","male","45 to 49 years","Part-time","Other general schools (statues)",13.11,
"2018/19","Full-time equivalent","male","45 to 49 years","Part-time","Vocational schools for apprentices",47.57,
"2018/19","Full-time equivalent","male","45 to 49 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",177.63,
"2018/19","Full-time equivalent","male","45 to 49 years","Part-time","Other schools and colleges for Vocational Education (statutes)",8.67,
"2018/19","Full-time equivalent","male","45 to 49 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","50 to 54 years","Full-time","Cumpulsory schools",1389.10,
"2018/19","Full-time equivalent","male","50 to 54 years","Full-time","Academic secondary schools",804.21,
"2018/19","Full-time equivalent","male","50 to 54 years","Full-time","Other general schools (statues)",33.26,
"2018/19","Full-time equivalent","male","50 to 54 years","Full-time","Vocational schools for apprentices",564.92,
"2018/19","Full-time equivalent","male","50 to 54 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1551.43,
"2018/19","Full-time equivalent","male","50 to 54 years","Full-time","Other schools and colleges for Vocational Education (statutes)",18.42,
"2018/19","Full-time equivalent","male","50 to 54 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","50 to 54 years","Part-time","Cumpulsory schools",171.29,
"2018/19","Full-time equivalent","male","50 to 54 years","Part-time","Academic secondary schools",114.12,
"2018/19","Full-time equivalent","male","50 to 54 years","Part-time","Other general schools (statues)",16.43,
"2018/19","Full-time equivalent","male","50 to 54 years","Part-time","Vocational schools for apprentices",64.65,
"2018/19","Full-time equivalent","male","50 to 54 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",174.58,
"2018/19","Full-time equivalent","male","50 to 54 years","Part-time","Other schools and colleges for Vocational Education (statutes)",17.22,
"2018/19","Full-time equivalent","male","50 to 54 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","55 to 59 years","Full-time","Cumpulsory schools",1586.11,
"2018/19","Full-time equivalent","male","55 to 59 years","Full-time","Academic secondary schools",1036.53,
"2018/19","Full-time equivalent","male","55 to 59 years","Full-time","Other general schools (statues)",24.81,
"2018/19","Full-time equivalent","male","55 to 59 years","Full-time","Vocational schools for apprentices",466.89,
"2018/19","Full-time equivalent","male","55 to 59 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1640.30,
"2018/19","Full-time equivalent","male","55 to 59 years","Full-time","Other schools and colleges for Vocational Education (statutes)",23.70,
"2018/19","Full-time equivalent","male","55 to 59 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","55 to 59 years","Part-time","Cumpulsory schools",306.86,
"2018/19","Full-time equivalent","male","55 to 59 years","Part-time","Academic secondary schools",123.45,
"2018/19","Full-time equivalent","male","55 to 59 years","Part-time","Other general schools (statues)",11.79,
"2018/19","Full-time equivalent","male","55 to 59 years","Part-time","Vocational schools for apprentices",51.90,
"2018/19","Full-time equivalent","male","55 to 59 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",162.85,
"2018/19","Full-time equivalent","male","55 to 59 years","Part-time","Other schools and colleges for Vocational Education (statutes)",12.81,
"2018/19","Full-time equivalent","male","55 to 59 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","60 to 64 years","Full-time","Cumpulsory schools",1298.39,
"2018/19","Full-time equivalent","male","60 to 64 years","Full-time","Academic secondary schools",1126.78,
"2018/19","Full-time equivalent","male","60 to 64 years","Full-time","Other general schools (statues)",27.87,
"2018/19","Full-time equivalent","male","60 to 64 years","Full-time","Vocational schools for apprentices",269.09,
"2018/19","Full-time equivalent","male","60 to 64 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1361.53,
"2018/19","Full-time equivalent","male","60 to 64 years","Full-time","Other schools and colleges for Vocational Education (statutes)",17.01,
"2018/19","Full-time equivalent","male","60 to 64 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","60 to 64 years","Part-time","Cumpulsory schools",259.00,
"2018/19","Full-time equivalent","male","60 to 64 years","Part-time","Academic secondary schools",147.75,
"2018/19","Full-time equivalent","male","60 to 64 years","Part-time","Other general schools (statues)",12.01,
"2018/19","Full-time equivalent","male","60 to 64 years","Part-time","Vocational schools for apprentices",38.99,
"2018/19","Full-time equivalent","male","60 to 64 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",149.88,
"2018/19","Full-time equivalent","male","60 to 64 years","Part-time","Other schools and colleges for Vocational Education (statutes)",8.35,
"2018/19","Full-time equivalent","male","60 to 64 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","older than 65 years","Full-time","Cumpulsory schools",17.00,
"2018/19","Full-time equivalent","male","older than 65 years","Full-time","Academic secondary schools",25.00,
"2018/19","Full-time equivalent","male","older than 65 years","Full-time","Other general schools (statues)",7.93,
"2018/19","Full-time equivalent","male","older than 65 years","Full-time","Vocational schools for apprentices",2.00,
"2018/19","Full-time equivalent","male","older than 65 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",35.00,
"2018/19","Full-time equivalent","male","older than 65 years","Full-time","Other schools and colleges for Vocational Education (statutes)",-,
"2018/19","Full-time equivalent","male","older than 65 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","male","older than 65 years","Part-time","Cumpulsory schools",5.20,
"2018/19","Full-time equivalent","male","older than 65 years","Part-time","Academic secondary schools",9.09,
"2018/19","Full-time equivalent","male","older than 65 years","Part-time","Other general schools (statues)",1.89,
"2018/19","Full-time equivalent","male","older than 65 years","Part-time","Vocational schools for apprentices",1.31,
"2018/19","Full-time equivalent","male","older than 65 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",14.49,
"2018/19","Full-time equivalent","male","older than 65 years","Part-time","Other schools and colleges for Vocational Education (statutes)",1.10,
"2018/19","Full-time equivalent","male","older than 65 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","to 24 years","Full-time","Cumpulsory schools",1771.25,
"2018/19","Full-time equivalent","female","to 24 years","Full-time","Academic secondary schools",39.29,
"2018/19","Full-time equivalent","female","to 24 years","Full-time","Other general schools (statues)",17.77,
"2018/19","Full-time equivalent","female","to 24 years","Full-time","Vocational schools for apprentices",1.00,
"2018/19","Full-time equivalent","female","to 24 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",54.13,
"2018/19","Full-time equivalent","female","to 24 years","Full-time","Other schools and colleges for Vocational Education (statutes)",0.04,
"2018/19","Full-time equivalent","female","to 24 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","to 24 years","Part-time","Cumpulsory schools",176.28,
"2018/19","Full-time equivalent","female","to 24 years","Part-time","Academic secondary schools",46.79,
"2018/19","Full-time equivalent","female","to 24 years","Part-time","Other general schools (statues)",7.72,
"2018/19","Full-time equivalent","female","to 24 years","Part-time","Vocational schools for apprentices",0.83,
"2018/19","Full-time equivalent","female","to 24 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",31.20,
"2018/19","Full-time equivalent","female","to 24 years","Part-time","Other schools and colleges for Vocational Education (statutes)",0.95,
"2018/19","Full-time equivalent","female","to 24 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","25 to 29 years","Full-time","Cumpulsory schools",6343.13,
"2018/19","Full-time equivalent","female","25 to 29 years","Full-time","Academic secondary schools",1216.33,
"2018/19","Full-time equivalent","female","25 to 29 years","Full-time","Other general schools (statues)",65.28,
"2018/19","Full-time equivalent","female","25 to 29 years","Full-time","Vocational schools for apprentices",8.92,
"2018/19","Full-time equivalent","female","25 to 29 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",626.15,
"2018/19","Full-time equivalent","female","25 to 29 years","Full-time","Other schools and colleges for Vocational Education (statutes)",6.55,
